name,diag_size,real_sizerank
thumbtack,2.236067977,1
die,2.828427125,1
button,2.828427125,1
ring,2.9732137489999997,1
screw,3.041381265,1
chesspiece,4.472135955,1
paperclip,5.099019514,2
fish,5.2201532539999995,2
peanut,5.385164807000001,2
bowtiepasta,5.830951895,2
teabag,6.403124237,2
ravioli,6.403124237,2
thread,6.403124237,2
key,6.708203932000001,2
moneyroll,7.615773106000001,2
garlic,7.810249676000001,2
strawberry,7.810249676000001,2
egg,10.0,3
eightball,10.60660172,3
hairclip,10.63014581,3
lightbulb,11.66190379,3
muffin,12.20655562,3
baseball,12.72792206,3
leaf,13.60147051,3
apple,14.14213562,3
computermouse,14.76482306,3
coffeecup,14.86606875,3
pickle,14.86606875,3
bagel,16.97056275,3
fork,17.4642492,3
breadslice,17.69180601,3
clock,17.80449381,3
hairbrush,18.02775638,3
banana,19.697715600000002,3
wineglass,20.1246118,3
grater,21.47091055,3
cutter,21.47091055,3
yarn,22.84731932,3
ketchup,23.2594067,3
shoe,31.78049716,3
hairdryer,33.01514804,3
winebottle,35.11409973,3
helmet,36.40054945,3
violin,37.78306499,3
basketball,39.59797975,3
coffemaker,41.61730409,3
watermelon,42.19004622,3
drum,42.20189569,3
handsaw,44.94441011,3
kitten,54.08326913,4
trafficcone,56.82429058,4
monitor,63.70243323,4
backpack,64.07027392,4
baseballbat,70.57619995,4
toddler,81.63332653,4
skateboard,82.56512581,4
cooler,90.04998612,4
trunk,91.78779875,4
jacket,98.99494937,4
umbrella,104.0432602,5
dishwasher,104.86181380000001,5
deskchair,114.54693359999999,5
germanshephard,129.4681428,5
broom,134.8925498,5
mailbox,143.26548780000002,5
garbagecan,143.26548780000002,5
drumset,152.0,5
recliner,167.5380554,5
desk,168.62087649999998,5
grill,177.2343082,5
uprightpiano,184.20097719999998,5
trafficcop,188.6830411,5
clown,188.6830411,5
refridgerator,198.11612759999997,5
sodamachine,210.61813790000002,5
cow,213.2158531,5
bed,252.4064183,5
couch,259.4802497,5
tractor,470.8141884,5
car,514.6269422,6
convertible,514.6269422,6
fountain,531.5430368,6
van,542.9742167,6
dumptruck,675.3939591,6
statue,777.0122263999999,6
tank,799.1126329,6
firetruck,1045.19137,7
schoolbus,1256.334748,7
crane,1568.529566,7
monument,1777.068372,7
ranchhouse,2473.863375,7
tree,3016.8831600000003,7
freighttrain,3069.776702,7
lighthouse,3203.248351,7
arctriumph,6726.812024,8
airplane,7618.044368000001,8
cathedral,8775.676612000001,8
eiffeltower,10508.92996,8
skyscraper,18288.0,8
colloseum,19493.404880000002,8
